year,Py_alfred
1947,13.393
1947,13.598
1947,13.84
1947,14.182
1948,14.288
1948,14.405
1948,14.678
1948,14.726
1949,14.653
1949,14.503
1949,14.419
1949,14.421
1950,14.386
1950,14.433
1950,14.74
1950,15.032
1951,15.585
1951,15.688
1951,15.696
1951,15.871
1952,15.861
1952,15.886
1952,16.065
1952,16.109
1953,16.112
1953,16.142
1953,16.205
1953,16.24
1954,16.29
1954,16.301
1954,16.326
1954,16.368
1955,16.447
1955,16.513
1955,16.635
1955,16.801
1956,16.969
1956,17.068
1956,17.287
1956,17.354
1957,17.597
1957,17.717
1957,17.824
1957,17.825
1958,18.02
1958,18.072
1958,18.186
1958,18.271
1959,18.297
1959,18.314
1959,18.366
1959,18.443
1960,18.521
1960,18.579
1960,18.648
1960,18.7
1961,18.743
1961,18.785
1961,18.843
1961,18.908
1962,19.02
1962,19.047
1962,19.092
1962,19.152
1963,19.196
1963,19.233
1963,19.272
1963,19.418
1964,19.477
1964,19.529
1964,19.607
1964,19.703
1965,19.801
1965,19.887
1965,19.96
1965,20.088
1966,20.218
1966,20.391
1966,20.601
1966,20.791
1967,20.886
1967,20.997
1967,21.203
1967,21.438
1968,21.672
1968,21.899
1968,22.115
1968,22.426
1969,22.66
1969,22.952
1969,23.28
1969,23.581
1970,23.915
1970,24.247
1970,24.438
1970,24.752
1971,25.126
1971,25.455
1971,25.711
1971,25.918
1972,26.319
1972,26.475
1972,26.731
1972,27.083
1973,27.403
1973,27.828
1973,28.37
1973,28.932
1974,29.488
1974,30.192
1974,31.085
1974,32.015
1975,32.757
1975,33.245
1975,33.864
1975,34.463
1976,34.837
1976,35.208
1976,35.686
1976,36.331
1977,36.943
1977,37.47
1977,37.927
1977,38.758
1978,39.326
1978,40.05
1978,40.716
1978,41.575
1979,42.318
1979,43.362
1979,44.301
1979,45.194
1980,46.144
1980,47.178
1980,48.256
1980,49.593
1981,50.851
1981,51.813
1981,52.73
1981,53.692
1982,54.421
1982,55.08
1982,55.864
1982,56.47
1983,56.929
1983,57.345
1983,57.929
1983,58.355
1984,59.096
1984,59.602
1984,60.081
1984,60.465
1985,61.136
1985,61.483
1985,61.736
1985,62.14
1986,62.456
1986,62.786
1986,63.143
1986,63.567
1987,64.16
1987,64.526
1987,65.033
1987,65.53
1988,66.068
1988,66.689
1988,67.442
1988,67.953
1989,68.723
1989,69.399
1989,69.855
1989,70.317
1990,71.166
1990,71.993
1990,72.655
1990,73.239
1991,74.026
1991,74.553
1991,75.133
1991,75.569
1992,75.954
1992,76.423
1992,76.778
1992,77.214
1993,77.677
1993,78.106
1993,78.466
1993,78.897
1994,79.311
1994,79.689
1994,80.163
1994,80.576
1995,81.038
1995,81.397
1995,81.78
1995,82.195
1996,82.67
1996,82.987
1996,83.25
1996,83.71
1997,84.251
1997,84.447
1997,84.742
1997,85.055
1998,85.198
1998,85.402
1998,85.729
1998,85.988
1999,86.371
1999,86.675
1999,86.998
1999,87.305
2000,88
2000,88.446
2000,88.979
2000,89.447
2001,90.054
2001,90.666
2001,90.952
2001,91.232
2002,91.555
2002,91.965
2002,92.363
2002,92.894
2003,93.543
2003,93.815
2003,94.337
2003,94.818
2004,95.643
2004,96.45
2004,97.149
2004,97.874
2005,98.776
2005,99.437
2005,100.458
2005,101.302
2006,102.055
2006,102.948
2006,103.724
2006,104.186
2007,105.38
2007,106.098
2007,106.453
2007,106.958
2008,107.591
2008,108.302
2008,109.162
2008,109.3
2009,109.717
2009,109.594
2009,109.658
2009,109.943
2010,110.358
2010,110.793
2010,111.156
2010,111.644
2011,112.398
2011,113.118
2011,113.836
